Date,TimeblockId,DAM_Price,RTM_Price,RTM_Purchase_Bid,RTM_Selling_Bid,DAM_Purchase_Bid,DAM_Selling_Bid,Demand
01-10-2020,1,2624.91,2089.45,949.1,3145.7,8860,12455.1,150321
01-10-2020,2,2609.88,2245.41,929.5,3122.7,8732.3,12317,149035
01-10-2020,3,2674.59,2245.89,963.4,2789,8718.6,12182.7,148483
01-10-2020,4,2609.42,2245.91,963.4,2818.4,8485.7,12298.9,146938
01-10-2020,5,2698.07,2199.82,991.8,2907.7,8728.7,12276,145493
01-10-2020,6,2609.54,2090,993.8,3006,8298.8,12353,144361
01-10-2020,7,2569.36,2500.13,1136.5,2657.4,8104.4,12456.5,143268
01-10-2020,8,2549.93,2349.9,1075.5,2674.2,7929.2,12349.3,142389
01-10-2020,9,2500.7,2245.52,1064,3074.2,7406.2,12264.7,141190
01-10-2020,10,2599.84,2245.6,1109.5,3070.5,7415.7,12469.5,140737
01-10-2020,11,2549.99,2089.96,1009.4,3220,7214.3,12558.1,139637
01-10-2020,12,2500.86,2089.92,994.3,3314.6,6832.5,12724,135758
01-10-2020,13,2275,2089.28,960.2,3731.9,6304.6,12796.8,135411
01-10-2020,14,2500.45,2089.33,951.7,4001.7,6188.5,12999.7,134264
01-10-2020,15,2489.99,2089.73,1143.6,4027.3,6011.9,13142.7,133276
01-10-2020,16,2417.99,2089.75,1115.8,3992.7,5920.5,13287.4,128288
01-10-2020,17,2350.57,2130.38,1152.2,4015,5737.5,13377.3,127905
01-10-2020,18,2349.47,2130.33,1152.6,3965.4,5658.6,13056.3,124768
01-10-2020,19,2297,2089.79,1120.5,4059.6,5566.6,12892.2,125006
01-10-2020,20,2319.3,2245.55,1186.5,4040.4,5502.2,12749.2,125365
01-10-2020,21,2549.67,2199.34,1147.2,4660.4,5465.5,12614.4,140654
01-10-2020,22,2319.12,2200.35,1071.5,4502.6,5196.8,13037.4,140773
01-10-2020,23,2274.77,2198.79,1106.1,4539.9,5278.3,13173.2,141073
01-10-2020,24,2319.55,2089.51,870.1,4667.8,5391.4,13640.2,141332
01-10-2020,25,2509.32,2299.39,761.9,4109.1,5616.9,14336.7,139551
01-10-2020,26,2570.79,2300.45,764.9,3807.2,6030.9,15419.1,140663
01-10-2020,27,2545.25,2245.03,971.5,3738.6,6474.6,15677.5,141951
01-10-2020,28,2500.5,2299.97,1156.4,3802.8,6696.3,15858.5,142918
01-10-2020,29,2319.07,2448.63,1043.5,3873.6,6762.9,15684.6,144071
01-10-2020,30,2509.61,2448.58,1062.6,3895.9,6829,15599.5,145599
01-10-2020,31,2489.73,2448.79,1179.6,3788.8,6761.7,15638.5,146099
01-10-2020,32,2319.33,2448.05,1177.4,4042.1,6570.6,15588,147020
01-10-2020,33,2293.16,2448.97,1278.2,3850.1,5947.6,16285.2,147682
01-10-2020,34,2545.33,2506.99,1311.9,3522.3,5896.1,15836.2,150575
01-10-2020,35,2509.48,2448.84,1168.6,3640.4,5848.5,15278.9,153112
01-10-2020,36,2509.93,2448.45,1178.7,3739.6,5908.4,14770.8,155677
01-10-2020,37,2400.2,2249.55,877.6,3271.8,6261.4,14774,158427
01-10-2020,38,2489.19,2324.34,892.4,3110.4,6324.9,14365.7,161984
01-10-2020,39,2500.22,2299.59,930.8,3138.8,6441,13883.7,163669
01-10-2020,40,2509.97,2299.56,934.5,3144.8,6518,13928.4,165552
01-10-2020,41,2319.22,2245.44,711.8,3348.2,6326.3,15287.7,164612
01-10-2020,42,2369.4,2245.52,731.8,3348.6,6501,15215.3,165219
01-10-2020,43,2549.66,2049.83,672.6,3463.9,6799.7,14797.8,165927
01-10-2020,44,2599.04,2049.85,668.4,3463.5,6850.1,15109.5,166355
01-10-2020,45,2409.89,2019.13,558.5,3469.3,6780.6,15482.8,166514
01-10-2020,46,2409.49,1999.28,563.5,3344.4,6842.9,15575.1,166534
01-10-2020,47,2519.38,2099.61,664.4,2917.6,6971.1,15522,166029
01-10-2020,48,2500.25,2099.9,651.6,2881.3,6891.2,15586.7,165737
01-10-2020,49,2519.21,2245.37,670.1,2929.1,6859,16081,164913
01-10-2020,50,2599.12,2245.46,675.1,2918.6,7060.2,16071.9,165364
01-10-2020,51,2519.65,1399.89,530.9,3471.8,6838.4,16007.4,165565
01-10-2020,52,2519.84,1399.76,510.8,3424.7,6922.9,15902.1,164915
01-10-2020,53,2409.27,1499.09,645.7,4033.9,6520.3,16117.4,161949
01-10-2020,54,2299.7,1499,630.3,4136,6478.1,16481.2,159194
01-10-2020,55,2409.71,1999.25,673.8,3805.7,6861.5,16806.5,158237
01-10-2020,56,2549.05,1999.89,710.4,3634.4,7222.3,16891.1,157526
01-10-2020,57,2599.42,2254.24,845.3,3295.5,7740.3,17291.5,164963
01-10-2020,58,2609.03,2252.35,835.5,3310.9,7993,17607.1,164241
01-10-2020,59,2704.41,2324.47,990.6,3393.8,8468.8,17434.2,163375
01-10-2020,60,2704.46,2349.31,991,3574.5,8550.1,17808.6,163132
01-10-2020,61,2699.22,2350.44,1079.3,3570,8360.7,17297.4,161729
01-10-2020,62,2704.39,2400.66,1184.5,3569.6,8502.6,17351.2,160937
01-10-2020,63,2704.66,2640.16,1270.4,3525.5,8627.4,17997.2,155550
01-10-2020,64,2726.66,2640.33,1282.9,3520.5,8781.5,18127,154819
01-10-2020,65,2799.13,2400.28,958.5,3425.9,9074.3,18012.6,154078
01-10-2020,66,2799.78,2532.36,1008.5,3255.9,9147.2,18044.1,153546
01-10-2020,67,2799.55,2439.01,1039.6,3476.8,9047.2,17450,153202
01-10-2020,68,2799.78,2439.18,1059.6,3477.2,9029.4,16852.5,153027
01-10-2020,69,2799.84,2350.24,833.2,3207,8994,15131.4,151176
01-10-2020,70,2796.04,2450.6,1005.2,3316.4,8946.7,14650.4,151121
01-10-2020,71,2796.05,2720.2,1068.2,3233.1,9113.4,13878,152013
01-10-2020,72,2797.77,2720.04,991.3,3231.5,9233.9,13103.2,154722
01-10-2020,73,2799.23,2900.67,1354.7,3024.6,8967.3,11482.2,157230
01-10-2020,74,3029.58,3049.34,1404.2,2160.4,9687.4,11170.9,161379
01-10-2020,75,3498.38,3101.55,1578.9,2152.4,10339,10771.7,165809
01-10-2020,76,3947.89,3149.62,1856.4,2152.2,10982.7,10819.8,169361
01-10-2020,77,3829.44,3149.85,1943.6,2239.7,11034.2,11027.7,170401
01-10-2020,78,3816.37,3149.94,1983.6,2221.9,11015.7,11118.6,171594
01-10-2020,79,3829.51,3049.81,1662.3,2431.8,11248.6,11439.6,170296
01-10-2020,80,3500.24,3049.42,1479.1,2413.8,10831.6,11819.6,168484
01-10-2020,81,3197.8,3059.89,1585.2,1925.7,10220.8,12180.5,166908
01-10-2020,82,3198.09,3049.77,1574.2,1969.4,10130.8,12280.3,166537
01-10-2020,83,3198.89,2795.85,1585.2,2686.8,10135.8,12329.7,165633
01-10-2020,84,3197.31,2791.89,1585.2,2775.4,10003.1,12442.8,164917
01-10-2020,85,3193.66,2759.12,1489.1,3036.7,10435,12703.2,164140
01-10-2020,86,3192.51,2781.34,1459.1,2846.9,10356.9,12785.1,163537
01-10-2020,87,3179.69,2699.08,1391,2834.1,10151,12825.1,162361
01-10-2020,88,3179.21,2679.45,1389.8,2877,10085.6,12975.4,161833
01-10-2020,89,2500.72,2549.41,1523.1,3297.3,9155.8,12445.5,161262
01-10-2020,90,2724.9,2549.04,1428.4,3019.5,9338.3,12299.5,161134
01-10-2020,91,2700.9,2494.54,1397.2,3042.6,9398.7,12110.5,160009
01-10-2020,92,2699.04,2719.38,1412.7,3001.5,9398.6,12108.5,158777
01-10-2020,93,2749.92,2492.1,1393,3034.7,9491.8,12013.8,157784
01-10-2020,94,2750.58,2489.52,1376.4,3188.8,9445.5,11839.9,156800
01-10-2020,95,2793.04,2270.43,1549.4,3617,9412.2,11676.6,155188
01-10-2020,96,2791.67,2245.28,1487.1,3611.9,9201.1,11452.3,153777
02-10-2020,1,2243.47,2701.46,2061.5,3474.1,8103.7,12875,149487
02-10-2020,2,2300.61,2701.73,2018.7,3494.1,8079.8,13052,148156
02-10-2020,3,2417.62,2359.97,1366.2,2759.2,7923.7,13071.1,147630
02-10-2020,4,2509.09,2379.77,1340.2,2722.3,7856.4,13095,146034
02-10-2020,5,2592.74,2319.16,1610.6,3341.2,7949.9,13124.1,144563
02-10-2020,6,2500.84,2299.62,1549.6,3442.4,7551.2,13199.3,143409
02-10-2020,7,2497.83,2359.1,1707.5,3587.1,7305.5,13215.2,142300
02-10-2020,8,2349.1,2310.32,1655.1,3718.2,6872,13388.2,141411
02-10-2020,9,2417.92,2250.86,1292.6,3728.7,6683,13605,140188
02-10-2020,10,2270.02,2250.8,1213.6,3847.1,6231.2,13789,139749
02-10-2020,11,2417.84,2250.85,1165.6,3760.8,6151.5,13875.5,138621
02-10-2020,12,2417.32,2200.84,1010.6,3891.4,5866.2,13891.5,134430
02-10-2020,13,2417.89,2199.13,862.3,4139.8,5637.8,14106.2,134108
02-10-2020,14,2349.02,2199.1,802.9,4178.4,5528.7,14282.1,132906
02-10-2020,15,2300.63,2199.54,876.7,4086.4,5393.1,14391.1,131870
02-10-2020,16,2274.25,2199.44,856.4,4077.6,5353.4,14522.8,126429
02-10-2020,17,2319.81,2199.31,908.3,4373.1,5100.7,14506.5,126061
02-10-2020,18,2299.8,2130.67,991.6,4414.4,5045.4,14198.5,122574
02-10-2020,19,2274.4,2020.06,1081.5,4503.5,5009.4,13982.5,122816
02-10-2020,20,2250.91,2199.98,1201.5,4562,4997.4,13833.5,123187
02-10-2020,21,2319.27,2199.06,1257.4,4882.3,4776.5,13636.6,140020
02-10-2020,22,2249.55,2199.77,1271.4,4788.7,4665.5,13906.6,140132
02-10-2020,23,2274.13,2319.4,1131.4,4174.4,4651.8,14138.2,140445
02-10-2020,24,2349.42,2339.36,1042.3,3974.7,4816.9,14748.3,140750
02-10-2020,25,2249.25,2359.92,704.7,4096.8,4689.2,15382.2,138910
02-10-2020,26,2417.5,2399.16,685.2,4011.9,5027,16344.6,140060
02-10-2020,27,2417.17,2448.46,1241.2,4085.7,5440.2,17242.2,141390
02-10-2020,28,2350.67,2448.4,1219.7,4099.3,5620.1,17054.4,142365
02-10-2020,29,2400.26,2448.82,1284.5,4182.3,5809.4,16876.5,143565
02-10-2020,30,2369.47,2448.73,1283.8,4200.1,5799.8,17218.8,145124
02-10-2020,31,2369.03,2404.8,1615.7,4471.1,5695.6,17277.3,145610
02-10-2020,32,2189.55,2369.28,1600.7,4749,5037.5,17264,146565
02-10-2020,33,2293.95,2448.05,1178.2,4493.2,4769.9,18349.9,147252
02-10-2020,34,2369.69,2448.15,1178.2,4470.1,4523.6,18374.7,150263
02-10-2020,35,2349.72,2369.2,1024.6,4091.9,4442.4,18267.2,152895
02-10-2020,36,2350.88,2339.54,1034.6,4158.1,4588.4,16726.5,155568
02-10-2020,37,2350.74,2000.28,543.3,3875.7,4937.6,16440.7,158446
02-10-2020,38,2350.14,1499.97,558.3,3951.6,4875.1,16006.7,162161
02-10-2020,39,2350.83,1499.94,669.5,3976.9,4939.6,16080.1,163922
02-10-2020,40,2350.43,2000.31,724.5,3979.3,4867.5,15543.3,165898
02-10-2020,41,2319.06,1499.52,976.8,4482.8,4706.6,17229.1,164845
02-10-2020,42,2349.03,1499.69,1031.8,4471.2,4725.8,16589.4,165478
02-10-2020,43,2449.19,1499.22,899,4270.5,4726.4,16182.6,166225
02-10-2020,44,2400.11,1499.33,935.2,4322.8,4756.3,16400,166646
02-10-2020,45,2400.41,1361.76,789.3,4327.5,4739.4,17139.1,166815
02-10-2020,46,2400.62,1499.07,842.8,4396.4,4730.9,17182.3,166821
02-10-2020,47,2369.47,1199.98,990.2,4429.1,4765.6,17289.8,166261
02-10-2020,48,2319.38,1499.08,1090.2,4563.1,4693.7,17397.7,165938
02-10-2020,49,2417.65,1499.03,1100.6,4605.7,4580.7,17628.1,165081
02-10-2020,50,2417.17,1499.05,1100.6,4764.2,4570.8,17373.2,165538
02-10-2020,51,2249.68,1800.99,1156.1,4324.7,4488.6,17540.4,165755
02-10-2020,52,2189.96,1800.65,1146.1,4410.9,4465.4,17403,165072
02-10-2020,53,2189.51,2050.7,1029.4,4681.9,4456.5,17165.1,161974
02-10-2020,54,2189.36,2050.68,1029.4,4684.3,4467.3,17605.3,159060
02-10-2020,55,2199.77,2130.27,1059.3,4703.3,4475.3,17822.5,158037
02-10-2020,56,2249.92,2130.41,1114.3,4669.8,4681.8,18406.4,157250
02-10-2020,57,2249.44,2200.4,969.5,4326.8,4752,18773.9,165223
02-10-2020,58,2349.78,2448.08,1049.5,4137.4,4853.7,18950.7,164409
02-10-2020,59,2449.07,2443.5,1030.3,4007.1,4985.4,19158.7,163465
02-10-2020,60,2417.76,2448.37,970.3,4095.9,5041,18997.8,163203
02-10-2020,61,2400.83,2448.47,967.4,4237,5042.6,19065.7,161760
02-10-2020,62,2400.11,2448.45,959.6,4251.6,5012.5,19136.9,160942
02-10-2020,63,2417.14,2448.68,1060.6,4277,5142.5,19318.1,155227
02-10-2020,64,2417.16,2448.6,1110.6,4281.1,5109.9,19389.8,154475
02-10-2020,65,2497.06,2448.98,898.2,4031.4,5508.3,17120.3,153757
02-10-2020,66,2500.02,2457.5,928.2,3920.7,5701.8,17290.9,153224
02-10-2020,67,2433.5,2342.28,753.1,3684.7,5734.8,16738,152890
02-10-2020,68,2449.27,2346.68,758.1,3702.8,5798.3,16597.6,152747
02-10-2020,69,2497.1,2448.67,849.9,3659,6023.1,16160,150837
02-10-2020,70,2497.27,2448.87,849.9,3445.1,6198.5,15689.9,150802
02-10-2020,71,2509.81,2720.76,1186.9,3155.6,6436.7,14990.5,151745
02-10-2020,72,2369.88,2720.76,1186.2,3113.7,6697.8,14724.4,154576
02-10-2020,73,2189.77,2999.64,1452.6,1855.4,6613.1,12439.6,157176
02-10-2020,74,2289.54,3040.39,1451.6,1632.3,7127.7,11855.2,161427
02-10-2020,75,2799.2,3040.51,1419.5,1866.3,7896.2,12170.4,165924
02-10-2020,76,2799.55,3040.68,1529.5,1848.9,8035.6,12060.3,169463
02-10-2020,77,2902.91,2991.12,1328.7,1996.8,8322,12127.2,170422
02-10-2020,78,2995.62,2991.47,1323.7,1787.6,8719.3,12216.3,171628
02-10-2020,79,2992.34,2909.17,1333.2,2154.3,8346.7,12497.2,170245
02-10-2020,80,2899.73,2868.93,1333.2,2160.6,8297.1,12824.6,168348
02-10-2020,81,2667.62,2868.37,1256.7,2700.8,7694.9,13177.2,166728
02-10-2020,82,2609.85,2868.56,1156.7,2670.2,7650.8,13414,166378
02-10-2020,83,2593.71,2759.35,992.4,2822.1,7783.3,13466,165448
02-10-2020,84,2593.16,2699.9,992.4,3019.2,7717.5,13575.5,164712
02-10-2020,85,2592.69,2699.99,1068.6,3149.2,7725.4,13832.7,163924
02-10-2020,86,2591.79,2720.42,1037.6,3028.9,7583.4,13896.4,163298
02-10-2020,87,2591.07,2801.19,1485.7,3189.6,7412.6,13904.4,162071
02-10-2020,88,2497.57,2799.16,1441.9,3278.5,7240.5,13921.8,161554
02-10-2020,89,2210.65,2849.01,1981.5,3432.1,6846.5,12888,160970
02-10-2020,90,2099.76,2868.03,2187,3578.4,6460.8,12640.2,160802
